_id/Annee,_id/Region,moyenne_qualite_air,moyenne_sous_indice_ozone,moyenne_sous_indice_particules_fine,moyenne_sous_indice_azote,moyenne_sous_indice_particules_souffre,somme_voiture,somme_poids_lourd,somme_montee_descente
2004,Angers,,,,,,0,0,9612
2004,Cholet,,,,,,0,0,1810
2004,Laval,,,,,,0,0,2793
2004,Mans,,,,,,0,0,11145
2004,Nantes,,,,,,0,0,20732
2004,Roche-sur-Yon,,,,,,0,0,3913
2004,Saint-Nazaire,,,,,,0,0,5797
2005,Angers,3.7150684931506848,3.6,2.197260273972603,1.9123287671232876,1,0,0,11617
2005,Cholet,3.6684931506849314,3.6143250688705235,2.0253521126760563,1.7362637362637363,1,0,0,2300
2005,Laval,3.526027397260274,3.409340659340659,2.136094674556213,1.8975069252077563,1,0,0,3598
2005,Mans,3.627397260273973,3.5123287671232877,2.0145772594752187,1.989041095890411,1.0027397260273974,0,0,14261
2005,Nantes,3.6684931506849314,3.536986301369863,2.202739726027397,2.1342465753424658,1.0027397260273974,0,0,25203
2005,Roche-sur-Yon,3.736986301369863,3.6648351648351647,2.302941176470588,1.7142857142857142,1,0,0,3775
2005,Saint-Nazaire,3.736986301369863,3.654794520547945,2.2436974789915967,1.660220994475138,1.0964187327823691,0,0,6374
2006,Angers,3.789041095890411,3.6027397260273974,2.162087912087912,1.915068493150685,1,0,0,10399
2006,Cholet,3.6986301369863015,3.576923076923077,2.1610169491525424,1.743801652892562,1,0,0,2065
2006,Laval,3.654794520547945,3.4356164383561643,2.114206128133705,1.9232876712328768,1,0,0,3233
2006,Mans,3.7013698630136984,3.5342465753424657,2.2222222222222223,1.9726027397260273,1.046831955922865,0,0,11268
2006,Nantes,3.712328767123288,3.4712328767123286,2.128767123287671,2.0876712328767124,1.0136986301369864,0,0,24099
2006,Roche-sur-Yon,3.7205479452054795,3.5506849315068494,2.3873873873873874,1.7287671232876711,1,0,0,3832
2006,Saint-Nazaire,3.73972602739726,3.5863013698630137,2.261111111111111,1.6236263736263736,1.098901098901099,0,0,6267
2007,Angers,3.8383561643835615,3.43013698630137,2.6054794520547944,2.0054794520547947,1,0,0,11511
2007,Cholet,3.7753424657534245,3.3863013698630136,2.6666666666666665,1.7857142857142858,1,0,0,2172
2007,Laval,3.684931506849315,3.206703910614525,2.6398891966759,1.9671232876712328,1,0,0,3130
2007,Mans,3.8,3.3589041095890413,2.6263736263736264,1.9315068493150684,1.010958904109589,0,0,12724
2007,Nantes,3.717808219178082,3.3068493150684932,2.728767123287671,2.010958904109589,1.0027397260273974,0,0,25341
2007,Roche-sur-Yon,3.750684931506849,3.389041095890411,2.719887955182073,1.7878787878787878,,0,0,3684
2007,Saint-Nazaire,3.8904109589041096,3.578082191780822,2.6758241758241756,1.610958904109589,1.0410958904109588,0,0,6515
2008,Angers,3.800546448087432,3.5327868852459017,2.3934426229508197,1.9672131147540983,1,0,0,11941
2008,Cholet,3.6475409836065573,3.412087912087912,2.2548476454293627,1.7595628415300546,,0,0,2249
2008,Laval,3.639344262295082,3.3278688524590163,2.3370165745856353,1.8688524590163935,1,0,0,3038
2008,Mans,3.6885245901639343,3.3551912568306013,2.368131868131868,2.0382513661202184,1.0142045454545454,0,0,12874
2008,Nantes,3.6530054644808745,3.3633879781420766,2.459016393442623,1.989071038251366,1,0,0,25659
2008,Roche-sur-Yon,3.669398907103825,3.459016393442623,2.3422619047619047,1.6475409836065573,,0,0,3046
2008,Saint-Nazaire,3.7759562841530054,3.587431693989071,2.4148351648351647,1.5628415300546448,1.0245901639344261,0,0,6442
2009,Angers,3.8876712328767122,3.5671232876712327,2.712290502793296,1.917808219178082,1,0,0,0
2009,Cholet,3.8438356164383563,3.4794520547945207,2.888888888888889,1.7287671232876711,,2626,132,0
2009,Laval,3.591780821917808,3.2246575342465755,2.75,1.936986301369863,,0,0,0
2009,Mans,3.8109589041095893,3.4767123287671233,2.6551724137931036,1.895890410958904,1,0,0,0
2009,Nantes,3.7835616438356166,3.4493150684931506,2.6876712328767125,1.8465753424657534,0.9917808219178083,734801,49170,0
2009,Roche-sur-Yon,3.852054794520548,3.5205479452054793,3.0357142857142856,1.6493150684931508,1,11386,1175,0
2009,Saint-Nazaire,3.745205479452055,3.4876712328767123,2.7099447513812156,1.621917808219178,1.0438356164383562,398907,23404,0
2010,Angers,3.9945205479452053,3.695890410958904,2.7845303867403315,2.03013698630137,1,0,0,13179
2010,Cholet,3.915068493150685,3.632596685082873,2.6545961002785514,1.7726027397260273,,14208,1094,2318
2010,Laval,3.76986301369863,3.367123287671233,3.0083798882681565,2.0165289256198347,,0,0,3530
2010,Mans,3.8876712328767122,3.5534246575342467,2.736986301369863,1.989041095890411,1,0,0,14721
2010,Nantes,3.852054794520548,3.5561643835616437,2.789041095890411,1.9479452054794522,1,1240317,81916,27368
2010,Roche-sur-Yon,3.915068493150685,3.5397260273972604,3.1988950276243093,1.7205479452054795,1,20307,2016,4508
2010,Saint-Nazaire,3.8438356164383563,3.5561643835616437,3.1440677966101696,1.7232876712328766,1.021917808219178,672560,38147,6896
2011,Angers,3.9205479452054797,3.6684931506849314,2.7994505494505493,1.8602739726027397,,0,0,0
2011,Cholet,3.8273972602739725,3.643835616438356,2.47536231884058,1.726027397260274,,0,0,0
2011,Laval,3.7260273972602738,3.3945205479452056,2.7099447513812156,1.8523676880222841,,0,0,0
2011,Mans,3.884931506849315,3.6164383561643834,2.541436464088398,1.926027397260274,1,0,0,0
2011,Nantes,3.936986301369863,3.7013698630136984,2.652054794520548,1.8465753424657534,0.010958904109589041,0,0,0
2011,Roche-sur-Yon,3.8575342465753426,3.6164383561643834,2.820809248554913,1.6,,0,0,0
2011,Saint-Nazaire,4.024657534246575,3.8,2.879154078549849,1.515068493150685,1.0191780821917809,0,0,0
2012,Angers,4.1256830601092895,3.439890710382514,3.5294117647058822,1.7814207650273224,,0,0,0
2012,Cholet,4.166666666666667,3.6418732782369148,3.2580645161290325,1.677685950413223,,0,0,0
2012,Laval,4.016393442622951,3.349726775956284,3.330601092896175,1.669398907103825,,0,0,0
2012,Mans,4.060109289617486,3.3524590163934427,3.4730878186968837,1.8060109289617485,1,0,0,0
2012,Nantes,4.2349726775956285,3.540983606557377,3.5546448087431695,1.9562841530054644,0,0,0,0
2012,Roche-sur-Yon,4.2349726775956285,3.4628099173553717,3.9101123595505616,1.6284153005464481,,0,0,0
2012,Saint-Nazaire,4.442622950819672,3.685792349726776,3.952247191011236,1.4781420765027322,1.0223463687150838,0,0,0
2013,Angers,4.189041095890411,3.6054794520547944,3.318681318681319,1.726027397260274,,0,0,15065
2013,Cholet,4.380821917808219,3.793956043956044,3.4161849710982657,1.5698630136986302,,0,0,2506
2013,Laval,4.038356164383561,3.389041095890411,3.25,1.7671232876712328,,0,0,4538
2013,Mans,4.090410958904109,3.5095890410958903,3.209366391184573,1.7205479452054795,,0,0,15961
2013,Nantes,4.178082191780822,3.6301369863013697,3.3013698630136985,1.8164383561643835,0,0,0,34048
2013,Roche-sur-Yon,4.063013698630137,3.5753424657534247,3.2333333333333334,1.558904109589041,,0,0,4992
2013,Saint-Nazaire,4.304109589041096,3.789041095890411,3.369186046511628,1.4054794520547946,1,0,0,7894
2014,Angers,4.032876712328767,3.652054794520548,3.1342465753424658,1.641095890410959,,0,0,0
2014,Cholet,4.005479452054795,3.682191780821918,3.186301369863014,1.5123287671232877,0,0,0,0
2014,Laval,3.7643835616438355,3.452054794520548,2.4575342465753423,1.6465753424657534,0,0,0,0
2014,Mans,3.915068493150685,3.5863013698630137,2.8958904109589043,1.5506849315068494,0,0,0,0
2014,Nantes,3.9972602739726026,3.6465753424657534,3.043835616438356,1.8602739726027397,0,0,0,0
2014,Roche-sur-Yon,4.0576923076923075,3.64010989010989,3.368131868131868,1.5027472527472527,0,0,0,0
2014,Saint-Nazaire,4.0849315068493155,3.819178082191781,2.9123287671232876,1.3835616438356164,1.0082191780821919,0,0,0
2015,Angers,4,3.5945205479452054,2.9972602739726026,1.641095890410959,0,0,0,14936
2015,Cholet,3.9808219178082194,3.6246575342465754,2.8602739726027395,1.5068493150684932,0,0,0,2531
2015,Laval,3.7753424657534245,3.345205479452055,2.808219178082192,1.7452054794520548,0,0,0,3635
2015,Mans,3.8684931506849316,3.5095890410958903,3,1.6246575342465754,0,0,0,15156
2015,Nantes,3.967123287671233,3.5506849315068494,3.0986301369863014,1.7287671232876711,0,0,0,39686
2015,Roche-sur-Yon,3.9972602739726026,3.372602739726027,3.4,1.473972602739726,0,0,0,5324
2015,Saint-Nazaire,3.9808219178082194,3.706849315068493,2.271232876712329,1.3342465753424657,1.0027397260273974,0,0,8837
2016,Angers,3.8360655737704916,3.314207650273224,2.751366120218579,1.592896174863388,0,0,0,14900
2016,Cholet,3.9098360655737703,3.4344262295081966,2.989071038251366,1.4480874316939891,0,0,0,2364
2016,Laval,3.66120218579235,3.1530054644808745,2.7540983606557377,1.6912568306010929,0,0,0,3181
2016,Mans,3.76775956284153,3.3278688524590163,2.73224043715847,1.5737704918032787,0,0,0,86222
2016,Nantes,3.789617486338798,3.3114754098360657,2.8852459016393444,1.7404371584699454,0,0,0,46075
2016,Roche-sur-Yon,3.83879781420765,3.431693989071038,2.797814207650273,1.4863387978142077,0,0,0,5586
2016,Saint-Nazaire,3.877049180327869,3.4644808743169397,2.6775956284153004,1.4371584699453552,1,0,0,7878
